year,Lat,Lng,Crime_Count
2001,41.7571,-87.5628,23
2001,41.7659,-87.7226,23
2001,41.7791,-87.6862,23
2001,41.7791,-87.6838,23
2001,41.7796,-87.6641,23
2001,42.0022,-87.6801,23
2001,42.0055,-87.669,23
2001,42.008,-87.6658,23
2001,42.0193,-87.6729,23
2001,41.8297,-87.6139,23
2001,41.8095,-87.6067,23
2001,41.8097,-87.6038,23
2001,41.8121,-87.6458,23
2001,41.8763,-87.6742,23
2001,41.844,-87.6286,23
2001,41.844,-87.6271,23
2001,41.8665,-87.7057,23
2001,41.8671,-87.6393,23
2001,41.8801,-87.6472,23
2001,41.8807,-87.7063,23
2001,41.8808,-87.7258,23
2001,41.9714,-87.6596,23
2001,41.9788,-87.8367,23
2001,41.9631,-87.6546,23
2001,41.9656,-87.667,23
2001,41.9855,-87.66,23
2001,41.9861,-87.6582,23
2001,41.9868,-87.8401,23
2001,41.9967,-87.7117,23
2001,41.9456,-87.8069,23
2001,41.9474,-87.6535,23
2001,41.939,-87.7667,23
2001,41.9311,-87.7858,23
2001,41.9691,-87.655,22
2001,41.9732,-87.7134,22
2001,41.9759,-87.8393,22
2001,41.9813,-87.7087,22
2001,41.9605,-87.6503,22
2001,41.94,-87.6528,22
2001,41.9545,-87.6472,22
2001,41.7765,-87.6157,22
2001,41.7779,-87.6157,22
2001,41.7803,-87.6156,22
2001,41.7804,-87.6109,22
2001,41.7833,-87.6061,22
2001,41.7867,-87.6642,22
2001,41.7906,-87.6719,22
2001,41.7938,-87.6445,22
2001,41.7946,-87.6319,22
2001,41.7639,-87.5606,22
2001,41.7686,-87.5728,22
2001,41.8033,-87.704,22
2001,41.7569,-87.7223,22
2001,41.8962,-87.6556,22
2001,41.8964,-87.6299,22
2001,41.9011,-87.6275,22
2001,41.9015,-87.6285,22
2001,41.9026,-87.7215,22
2001,41.9068,-87.7545,22
2001,41.8837,-87.7089,22
2001,41.885,-87.7652,22
2001,41.8853,-87.6293,22
2001,41.8889,-87.637,22
2001,41.9069,-87.7324,22
2001,41.9102,-87.707,22
2001,41.9108,-87.6652,22
2001,41.891,-87.6243,22
2001,41.8932,-87.6328,22
2001,41.6531,-87.6018,22
2001,41.6778,-87.6369,22
2001,41.7362,-87.624,22
2001,41.7366,-87.605,22
2001,41.7211,-87.6642,22
2001,41.7282,-87.5514,22
2001,41.73,-87.5504,22
2001,41.7445,-87.644,22
2001,41.6928,-87.6164,22
2001,41.8774,-87.6275,22
2001,41.8775,-87.6851,22
2001,41.879,-87.6292,22
2001,41.8796,-87.6245,22
2001,41.8801,-87.7693,22
2001,41.8806,-87.6299,22
2001,41.8812,-87.6989,22
2001,41.87,-87.6582,22
2001,41.8759,-87.6319,22
2001,41.8236,-87.6266,22
2001,41.8273,-87.6266,22
2001,41.8075,-87.7433,22
2001,41.8076,-87.7409,22
2001,41.8095,-87.5925,22
2001,41.814,-87.6261,22
2001,41.8607,-87.7117,22
2001,41.8418,-87.6281,22
2001,41.8437,-87.6282,22
2001,42.0037,-87.6683,22
2001,42.0056,-87.6661,22
2001,42.0015,-87.6898,21
2001,42.0089,-87.6621,21
2001,42.0128,-87.6636,21
2001,41.8956,-87.6241,21
2001,41.8958,-87.6779,21
2001,41.9243,-87.668,21
2001,41.9076,-87.6858,21
2001,41.9104,-87.6889,21
2001,41.9109,-87.6543,21
2001,41.9017,-87.6319,21
2001,41.9028,-87.7191,21
2001,41.9033,-87.6666,21
2001,41.9038,-87.718,21
2001,41.9065,-87.7102,21
2001,41.8833,-87.628,21
2001,41.8845,-87.6246,21
2001,41.8848,-87.6308,21
2001,41.8854,-87.6671,21
2001,41.8858,-87.6247,21
2001,41.8866,-87.6244,21
2001,41.9745,-87.6579,21
2001,41.9856,-87.6569,21
2001,41.9324,-87.6796,21
2001,41.9387,-87.7686,21
2001,41.9425,-87.6698,21
2001,41.9471,-87.6566,21
2001,41.9487,-87.6437,21
2001,41.966,-87.6546,21
2001,41.7583,-87.6153,21
2001,41.7586,-87.5909,21
2001,41.7588,-87.5552,21
2001,41.7849,-87.6837,21
2001,41.7854,-87.6062,21
2001,41.7708,-87.6353,21
2001,41.7739,-87.6971,21
2001,41.7815,-87.6349,21
2001,41.8031,-87.6261,21
2001,41.7948,-87.6199,21
2001,41.7688,-87.6519,21
2001,41.7689,-87.6321,21
2001,41.831,-87.6323,21
2001,41.8455,-87.6271,21
2001,41.8169,-87.5987,21
2001,41.8251,-87.6073,21
2001,41.8273,-87.6263,21
2001,41.8308,-87.6103,21
2001,41.8778,-87.6365,21
2001,41.878,-87.6312,21
2001,41.8805,-87.7003,21
2001,41.8805,-87.6408,21
2001,41.8817,-87.6472,21
2001,41.8818,-87.6339,21
2001,41.8746,-87.7181,21
2001,41.8527,-87.7125,21
2001,41.8538,-87.627,21
2001,41.8083,-87.6967,21
2001,41.8094,-87.621,21
2001,41.813,-87.6263,21
2001,41.8147,-87.6199,21
2001,41.7373,-87.5516,21
